p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.80232273773e-06	9.1918459624e-05	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	KEGG	path:hsa00760	ENSG00000147813; ENSG00000103485; ENSG00000112992; ENSG00000106733	93100; 54981; 23530; 23475	29	29
9.92234823657e-06	0.000253019880033	Nicotinate and Nicotinamide Metabolism	SMPDB	SMP00048	ENSG00000103485; ENSG00000106733; ENSG00000112992	23530; 54981; 23475	14	14
3.80740563639e-05	0.000513555256454	Metabolism	Reactome	R-HSA-1430728	ENSG00000106733; ENSG00000147813; ENSG00000165092; ENSG00000156017; ENSG00000095321; ENSG00000240038; ENSG00000162482; ENSG00000157184; ENSG00000204983; ENSG00000112992; ENSG00000103485; ENSG00000129167; ENSG00000134201; ENSG00000177076; ENSG00000211454; ENSG00000109390; ENSG00000162882	1384; 4717; 22977; 216; 1376; 23498; 138199; 2949; 5644; 246181; 93100; 280; 23475; 54981; 23530; 340485; 7166	2035	1994
4.12613186045e-05	0.000513555256454	Nicotinate metabolism	Reactome	R-HSA-196807	ENSG00000147813; ENSG00000103485; ENSG00000106733	54981; 93100; 23475	23	22
5.03485545543e-05	0.000513555256454	Tryptophan degradation	INOH	None	ENSG00000129167; ENSG00000103485; ENSG00000165092; ENSG00000162882	216; 23498; 23475; 7166	69	66
0.000140602978669	0.00119512531869	mitochondrial L-carnitine shuttle	HumanCyc	PWY-6111	ENSG00000095321; ENSG00000157184	1376; 1384	6	6
0.000261426845504	0.00164180291014	NAD Biosynthesis II (from tryptophan)	Wikipathways	WP2485	ENSG00000103485; ENSG00000162882	23475; 23498	8	8
0.00027416312549	0.00164180291014	superpathway of tryptophan utilization	HumanCyc	PWY66-401	ENSG00000129167; ENSG00000103485; ENSG00000162882	23498; 23475; 7166	44	41
0.000353056832167	0.00164180291014	Metabolism of water-soluble vitamins and cofactors	Reactome	R-HSA-196849	ENSG00000147813; ENSG00000103485; ENSG00000106733; ENSG00000204983	93100; 5644; 23475; 54981	113	109
0.000386235210016	0.00164180291014	Tryptophan metabolism	Wikipathways	WP465	ENSG00000129167; ENSG00000165092; ENSG00000162882	216; 23498; 7166	46	46
0.000418498781017	0.00164180291014	Beta Oxidation of Very Long Chain Fatty Acids	SMPDB	SMP00052	ENSG00000095321; ENSG00000157184	1384; 1376	10	10
0.000418498781017	0.00164180291014	Adrenoleukodystrophy, X-linked	SMPDB	SMP00516	ENSG00000095321; ENSG00000157184	1384; 1376	10	10
0.000418498781017	0.00164180291014	Carnitine-acylcarnitine translocase deficiency	SMPDB	SMP00517	ENSG00000095321; ENSG00000157184	1384; 1376	10	10
0.000611386431195	0.00207871386606	Oxidation of Branched Chain Fatty Acids	SMPDB	SMP00030	ENSG00000095321; ENSG00000157184	1384; 1376	12	12
0.000611386431195	0.00207871386606	NAD <i>de novo</i> biosynthesis	HumanCyc	NADSYN-PWY	ENSG00000103485; ENSG00000162882	23475; 23498	13	12
0.0014553496359	0.00463892696444	Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	ENSG00000147813; ENSG00000103485; ENSG00000106733; ENSG00000204983	93100; 5644; 23475; 54981	164	159
0.00156238723231	0.00468716169694	Tryptophan Metabolism	SMPDB	SMP00063	ENSG00000129167; ENSG00000162882	23498; 7166	19	19
0.00209818815432	0.00563197873001	NAD+ biosynthetic pathways	Wikipathways	WP3645	ENSG00000147813; ENSG00000103485	23475; 93100	22	22
0.00209818815432	0.00563197873001	Aflatoxin activation and detoxification	Reactome	R-HSA-5423646	ENSG00000162482; ENSG00000211454	246181; 22977	23	22
0.00271969257324	0.00693521606176	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000158516; ENSG00000066230; ENSG00000204983	5644; 1358; 6550	90	90
0.00326546865566	0.00793042387804	Pancreatic secretion - Homo sapiens (human)	KEGG	path:hsa04972	ENSG00000240038; ENSG00000158516; ENSG00000204983	5644; 280; 1358	96	96
0.00463155074201	0.0107367767201	Biological oxidations	Reactome	R-HSA-211859	ENSG00000134201; ENSG00000162482; ENSG00000165092; ENSG00000211454	216; 22977; 246181; 2949	229	219
0.00497702152575	0.0110360042528	Fatty Acid Beta Oxidation	Wikipathways	WP143	ENSG00000095321; ENSG00000157184	1376; 1384	34	34
0.00683907281771	0.0145330297376	Tryptophan metabolism - Homo sapiens (human)	KEGG	path:hsa00380	ENSG00000129167; ENSG00000162882	23498; 7166	40	40
0.00822989654825	0.0167889889584	Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism	Reactome	R-HSA-6788656	ENSG00000156017; ENSG00000162882	23498; 138199	45	44
