p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.55297511837e-07	8.21840317519e-05	Striated Muscle Contraction	Wikipathways	WP383	ENSG00000143632; ENSG00000105048; ENSG00000111245; ENSG00000197616; ENSG00000168530	4632; 4624; 4633; 58; 7138	38	38
1.46320608987e-05	0.00108277250651	Striated Muscle Contraction	Reactome	R-HSA-390522	ENSG00000105048; ENSG00000111245; ENSG00000197616; ENSG00000168530	7138; 4633; 4624; 4632	35	35
0.0028372341401	0.102672614656	Tight junction - Homo sapiens (human)	KEGG	path:hsa04530	ENSG00000125414; ENSG00000111245; ENSG00000109061; ENSG00000197616	4619; 4620; 4624; 4633	137	137
0.00329826477031	0.102672614656	Protein methylation	Reactome	R-HSA-8876725	ENSG00000140988; ENSG00000067365	79091; 6187	20	20
0.00451595483309	0.102672614656	miR-targeted genes in leukocytes - TarBase	Wikipathways	WP2003	ENSG00000142186; ENSG00000099783; ENSG00000110172; ENSG00000160710	103; 26973; 57410; 4670	156	156
0.00687530760886	0.102672614656	VEGFR2 mediated vascular permeability	Reactome	R-HSA-5218920	ENSG00000101255; ENSG00000080824	57761; 3320	29	29
0.00725900853134	0.102672614656	RNA Polymerase I Chain Elongation	Reactome	R-HSA-73777	ENSG00000137054; ENSG00000180573; ENSG00000158373	3017; 64425; 8334	94	92
0.00734616918881	0.102672614656	vegf hypoxia and angiogenesis	BioCarta	vegfpathway	ENSG00000143632; ENSG00000080824	3320; 58	30	30
0.00770162690528	0.102672614656	B-WICH complex positively regulates rRNA expression	Reactome	R-HSA-5250924	ENSG00000137054; ENSG00000180573; ENSG00000158373	3017; 64425; 8334	96	94
0.00982446470201	0.102672614656	Muscle contraction	Reactome	R-HSA-397014	ENSG00000105048; ENSG00000111245; ENSG00000197616; ENSG00000168530	7138; 4624; 4633; 4632	198	195
