p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.13824397088e-09	1.34881910549e-06	Circadian rhythm - Homo sapiens (human)	KEGG	path:hsa04710	ENSG00000126368; ENSG00000113558; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000005812; ENSG00000179094; ENSG00000134107; ENSG00000141551; ENSG00000008405; ENSG00000121671	1408; 406; 8864; 1453; 1454; 5187; 6500; 9572; 8553; 26224; 1407	31	30
1.05024797199e-08	4.60773262661e-06	Circadian Clock	Reactome	R-HSA-400253	ENSG00000126368; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000005812; ENSG00000121671; ENSG00000110090; ENSG00000134107; ENSG00000141551; ENSG00000008405; ENSG00000179094	1454; 1408; 26224; 8864; 1453; 1374; 1407; 8553; 5187; 9572; 406	38	36
1.16651458902e-08	4.60773262661e-06	Circadian rhythm pathway	PID	circadianpathway	ENSG00000126368; ENSG00000132326; ENSG00000213923; ENSG00000133794; ENSG00000121671; ENSG00000134107; ENSG00000179094; ENSG00000008405	5187; 1454; 1408; 9572; 1407; 8864; 406; 8553	18	16
2.10333984471e-07	6.23114428994e-05	Circadian Clock	Wikipathways	WP1797	ENSG00000126368; ENSG00000133794; ENSG00000132326; ENSG00000121671; ENSG00000179094; ENSG00000008405	8864; 5187; 9572; 406; 1408; 1407	10	10
2.68420716402e-06	0.000212703258291	Melatonin metabolism and effects	Wikipathways	WP3298	ENSG00000133794; ENSG00000213923; ENSG00000132326; ENSG00000179094; ENSG00000175104; ENSG00000121671; ENSG00000008405; ENSG00000141551	8864; 406; 1408; 1407; 5187; 1454; 7189; 1453	29	29
2.69244630748e-06	0.000212703258291	Long chain acyl-CoA dehydrogenase deficiency (LCAD)	SMPDB	SMP00539	ENSG00000075239; ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000138029	1376; 3030; 3032; 10449; 1374; 38	14	14
2.69244630748e-06	0.000212703258291	Trifunctional protein deficiency	SMPDB	SMP00545	ENSG00000075239; ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000138029	1376; 3030; 3032; 10449; 1374; 38	14	14
2.69244630748e-06	0.000212703258291	Carnitine palmitoyl transferase deficiency (II)	SMPDB	SMP00541	ENSG00000075239; ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000138029	1376; 3030; 3032; 10449; 1374; 38	14	14
2.69244630748e-06	0.000212703258291	Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)	SMPDB	SMP00540	ENSG00000075239; ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000138029	1376; 3030; 3032; 10449; 1374; 38	14	14
2.69244630748e-06	0.000212703258291	Medium chain acyl-coa dehydrogenase deficiency (MCAD)	SMPDB	SMP00542	ENSG00000075239; ENSG00000084754; ENSG00000110090; ENSG00000157184; ENSG00000167315; ENSG00000138029	1376; 3030; 3032; 10449; 1374; 38	14	14
