p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.66369815203e-07	5.2183970021e-05	Pancreatic secretion - Homo sapiens (human)	KEGG	path:hsa04972	ENSG00000091704; ENSG00000219073; ENSG00000175535; ENSG00000142789; ENSG00000142615; ENSG00000204983	5644; 63036; 5406; 1357; 23436; 10136	96	96
1.49109032483e-05	0.000402594387705	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000219073; ENSG00000142789; ENSG00000142615; ENSG00000091704; ENSG00000204983	5644; 63036; 23436; 10136; 1357	90	90
0.00158628070997	0.0240379512346	Digestion of dietary lipid	Reactome	R-HSA-192456	ENSG00000137392; ENSG00000175535	1208; 5406	17	17
0.00178058898034	0.0240379512346	Cobalamin (Cbl, vitamin B12) transport and metabolism	Reactome	R-HSA-196741	ENSG00000162438; ENSG00000204983	5644; 11330	19	18
0.00228693487122	0.0246988966091	Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	ENSG00000175535; ENSG00000162438; ENSG00000204983; ENSG00000137392	11330; 5644; 5406; 1208	164	159
0.00666732437167	0.0454947538085	Striated Muscle Contraction	Reactome	R-HSA-390522	ENSG00000183091; ENSG00000168530	4703; 4632	35	35
0.00742983519849	0.0454947538085	Type II interferon signaling (IFNG)	Wikipathways	WP619	ENSG00000184557; ENSG00000115386	9021; 5967	37	37
0.00782520591087	0.0454947538085	Striated Muscle Contraction	Wikipathways	WP383	ENSG00000183091; ENSG00000168530	4632; 4703	38	38
0.0090669688175	0.0454947538085	Fat digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04975	ENSG00000137392; ENSG00000175535	5406; 1208	41	41
0.00933454102425	0.0454947538085	Keratinization	Reactome	R-HSA-6805567	ENSG00000163209; ENSG00000142615; ENSG00000170477	6707; 63036; 3851	125	124
0.0099405178258	0.0454947538085	Retinoid metabolism and transport	Reactome	R-HSA-975634	ENSG00000137392; ENSG00000175535	5406; 1208	44	43
