p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.69618384291e-06	0.00136758802188	EGFR1	NetPath	Pathway_EGFR1	ENSG00000071242; ENSG00000163399; ENSG00000050820; ENSG00000096696; ENSG00000064393; ENSG00000166949; ENSG00000035403; ENSG00000109458; ENSG00000057294; ENSG00000143850; ENSG00000051382; ENSG00000136738	22874; 9564; 5291; 8027; 1832; 2549; 4088; 28996; 5318; 476; 7414; 6196	458	454
5.03485545543e-05	0.00931448259254	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	KEGG	path:hsa04960	ENSG00000176387; ENSG00000143153; ENSG00000051382; ENSG00000163399	5291; 3291; 476; 481	39	39
0.000352364356557	0.0283717659935	LPA receptor mediated events	PID	lysophospholipid_pathway	ENSG00000050820; ENSG00000173175; ENSG00000109458; ENSG00000051382	2549; 9564; 111; 5291	65	64
0.000483837789625	0.0283717659935	Integrin	INOH	None	ENSG00000204291; ENSG00000050820; ENSG00000111799; ENSG00000168477; ENSG00000035403	1306; 7148; 9564; 7414; 1303	124	124
0.000496599209871	0.0283717659935	Formation of the cornified envelope	Reactome	R-HSA-6809371	ENSG00000096696; ENSG00000134755; ENSG00000140479; ENSG00000057294	5318; 5046; 1824; 1832	70	70
0.00052417678993	0.0283717659935	Bile secretion - Homo sapiens (human)	KEGG	path:hsa04976	ENSG00000143153; ENSG00000173175; ENSG00000144959; ENSG00000163399	111; 476; 57552; 481	71	71
0.000552827680997	0.0283717659935	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	ENSG00000096696; ENSG00000051382; ENSG00000109458; ENSG00000166949	2549; 4088; 1832; 5291	74	72
0.000613443589049	0.0283717659935	Thyroid hormone synthesis - Homo sapiens (human)	KEGG	path:hsa04918	ENSG00000104687; ENSG00000173175; ENSG00000143153; ENSG00000163399	2936; 476; 481; 111	74	74
0.000748594328776	0.0307755446275	Bacterial invasion of epithelial cells - Homo sapiens (human)	KEGG	path:hsa05100	ENSG00000050820; ENSG00000051382; ENSG00000109458; ENSG00000035403	5291; 7414; 9564; 2549	78	78
0.00127911948871	0.0400773765245	Protein digestion and absorption - Homo sapiens (human)	KEGG	path:hsa04974	ENSG00000204291; ENSG00000111799; ENSG00000143153; ENSG00000163399	1303; 1306; 476; 481	90	90
0.00145874413657	0.0400773765245	Lactose Degradation	SMPDB	SMP00457	ENSG00000143153; ENSG00000163399	476; 481	11	11
