p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.13065371411e-06	0.000495366398998	GO:0097305	b	4	response to alcohol	595; 1571; 2185; 2690; 3643; 5423; 6347; 7298	ENSG00000171105; ENSG00000130649; ENSG00000108691; ENSG00000176890; ENSG00000110092; ENSG00000070501; ENSG00000112964; ENSG00000120899	181	181
2.22017362384e-06	0.000659151162465	GO:0031960	b	5	response to corticosteroid	590; 595; 2308; 2690; 3643; 6347; 7083; 7298	ENSG00000108691; ENSG00000171105; ENSG00000110092; ENSG00000167900; ENSG00000150907; ENSG00000176890; ENSG00000112964; ENSG00000114200	182	182
2.50818429872e-06	0.000495366398998	GO:1901654	b	4	response to ketone	595; 2308; 2690; 3643; 6347; 6363; 7083; 7298	ENSG00000108691; ENSG00000172724; ENSG00000171105; ENSG00000110092; ENSG00000167900; ENSG00000150907; ENSG00000176890; ENSG00000112964	185	185
4.43872836676e-06	0.000659151162465	GO:0045471	b	5	response to ethanol	595; 1571; 2185; 3643; 5423; 6347; 7298	ENSG00000108691; ENSG00000130649; ENSG00000171105; ENSG00000110092; ENSG00000176890; ENSG00000070501; ENSG00000120899	141	141
4.85163005582e-06	0.000611709902896	GO:0010243	b	3	response to organonitrogen compound	590; 595; 1571; 1979; 2185; 2308; 2690; 3643; 5295; 5328; 6347; 7161; 7298; 8660; 28999	ENSG00000185950; ENSG00000171105; ENSG00000130649; ENSG00000108691; ENSG00000078900; ENSG00000110092; ENSG00000148730; ENSG00000122861; ENSG00000150907; ENSG00000176890; ENSG00000145675; ENSG00000112964; ENSG00000114200; ENSG00000163884; ENSG00000120899	812	809
5.01401559751e-06	0.000611709902896	GO:1901698	b	3	response to nitrogen compound	590; 595; 1571; 1979; 2185; 2308; 2690; 3643; 5295; 5328; 6347; 6363; 7161; 7298; 8660; 28999	ENSG00000185950; ENSG00000171105; ENSG00000130649; ENSG00000108691; ENSG00000078900; ENSG00000110092; ENSG00000148730; ENSG00000122861; ENSG00000150907; ENSG00000176890; ENSG00000145675; ENSG00000112964; ENSG00000114200; ENSG00000163884; ENSG00000120899; ENSG00000172724	922	919
9.20638247844e-06	0.000607621243577	GO:0044763	b	2	single-organism cellular process	330; 483; 590; 595; 875; 896; 1571; 140766; 1979; 2131; 2185; 2215; 2308; 2309; 2588; 2690; 2752; 2907; 3628; 3633; 3643; 3909; 4502; 4897; 5295; 5328; 5423; 5569; 5832; 5833; 6196; 6347; 6363; 22943; 6603; 7027; 7083; 7161; 7298; 401494; 8660; 9061; 9088; 9501; 9547; 10630; 79682; 28999; 147495; 266727; 50509; 50650; 51116; 51181; 84818; 85407; 85409; 55504; 23087; 23613; 23705; 154807; 26227; 27124; 29091; 653499; 64131; 65009	ENSG00000112576; ENSG00000168952; ENSG00000130649; ENSG00000107984; ENSG00000145824; ENSG00000198176; ENSG00000141012; ENSG00000078900; ENSG00000169738; ENSG00000188921; ENSG00000135821; ENSG00000171033; ENSG00000103489; ENSG00000163884; ENSG00000112964; ENSG00000069849; ENSG00000167900; ENSG00000185950; ENSG00000120899; ENSG00000108691; ENSG00000178719; ENSG00000071242; ENSG00000080573; ENSG00000127863; ENSG00000151725; ENSG00000151689; ENSG00000185133; ENSG00000162493; ENSG00000122140; ENSG00000125148; ENSG00000181031; ENSG00000176890; ENSG00000204084; ENSG00000196715; ENSG00000092621; ENSG00000154856; ENSG00000104228; ENSG00000023445; ENSG00000171105; ENSG00000182197; ENSG00000138316; ENSG00000172724; ENSG00000127564; ENSG00000091129; ENSG00000185813; ENSG00000112139; ENSG00000140807; ENSG00000108604; ENSG00000163947; ENSG00000150907; ENSG00000103034; ENSG00000145675; ENSG00000070501; ENSG00000118689; ENSG00000114200; ENSG00000145506; ENSG00000059573; ENSG00000178934; ENSG00000122861; ENSG00000110092; ENSG00000148730; ENSG00000160200; ENSG00000163702; ENSG00000101040; ENSG00000138801; ENSG00000162747; ENSG00000053747; ENSG00000182985	10315	10274
1.57809732818e-05	0.00128351916025	GO:1901700	b	3	response to oxygen-containing compound	590; 595; 1571; 1979; 2185; 2308; 2690; 2752; 3643; 5295; 5328; 5423; 6196; 6347; 6363; 22943; 7083; 7298; 8660; 28999	ENSG00000185950; ENSG00000171105; ENSG00000071242; ENSG00000130649; ENSG00000122861; ENSG00000108691; ENSG00000176890; ENSG00000163884; ENSG00000110092; ENSG00000148730; ENSG00000107984; ENSG00000135821; ENSG00000150907; ENSG00000070501; ENSG00000145675; ENSG00000112964; ENSG00000114200; ENSG00000167900; ENSG00000120899; ENSG00000172724	1504	1501
2.3746118309e-05	0.00144851321685	GO:0044711	b	3	single-organism biosynthetic process	875; 2131; 2185; 2308; 2752; 3643; 5295; 5832; 5833; 6347; 7083; 7298; 401494; 8660; 9061; 51181; 26227; 27124; 64131	ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000059573; ENSG00000108691; ENSG00000185813; ENSG00000138801; ENSG00000169738; ENSG00000167900; ENSG00000160200; ENSG00000135821; ENSG00000103489; ENSG00000150907; ENSG00000176890; ENSG00000145675; ENSG00000188921; ENSG00000092621; ENSG00000120899; ENSG00000185133	1415	1413
2.7794462452e-05	0.00319530454744	GO:1904951	b	4	positive regulation of establishment of protein localization	2752; 5295; 6347; 6363; 7027; 7161; 8660; 9501; 84818; 85409; 23705	ENSG00000185950; ENSG00000108691; ENSG00000172724; ENSG00000145506; ENSG00000198176; ENSG00000078900; ENSG00000163702; ENSG00000135821; ENSG00000145675; ENSG00000181031; ENSG00000182985	514	514
2.96110986529e-05	0.000651444170363	GO:0048870	b	2	cell motility	483; 2185; 3633; 3643; 3909; 4897; 5295; 5328; 6347; 6363; 8660; 9547; 10630; 147495; 266727; 84818; 85407; 65009	ENSG00000185950; ENSG00000171105; ENSG00000172724; ENSG00000108691; ENSG00000145824; ENSG00000162493; ENSG00000140807; ENSG00000120899; ENSG00000145675; ENSG00000122861; ENSG00000154856; ENSG00000091129; ENSG00000112139; ENSG00000204084; ENSG00000103034; ENSG00000069849; ENSG00000163702; ENSG00000053747	1309	1307
2.96110986529e-05	0.000651444170363	GO:0051674	b	2	localization of cell	483; 2185; 3633; 3643; 3909; 4897; 5295; 5328; 6347; 6363; 8660; 9547; 10630; 147495; 266727; 84818; 85407; 65009	ENSG00000185950; ENSG00000171105; ENSG00000172724; ENSG00000108691; ENSG00000145824; ENSG00000162493; ENSG00000140807; ENSG00000120899; ENSG00000145675; ENSG00000122861; ENSG00000154856; ENSG00000091129; ENSG00000112139; ENSG00000204084; ENSG00000103034; ENSG00000069849; ENSG00000163702; ENSG00000053747	1309	1307
3.00208146949e-05	0.00144939272383	GO:0023051	b	3	regulation of signaling	330; 483; 590; 595; 1979; 2185; 2308; 2309; 2690; 2752; 2907; 3633; 3643; 5295; 5328; 6347; 6363; 6398; 22943; 7027; 7161; 8660; 9501; 147495; 50650; 85407; 85409; 55504; 23613; 65009	ENSG00000107984; ENSG00000127863; ENSG00000198176; ENSG00000078900; ENSG00000122861; ENSG00000112964; ENSG00000069849; ENSG00000185950; ENSG00000120899; ENSG00000108691; ENSG00000118689; ENSG00000181031; ENSG00000204084; ENSG00000135821; ENSG00000154856; ENSG00000023445; ENSG00000171105; ENSG00000172724; ENSG00000140807; ENSG00000163947; ENSG00000150907; ENSG00000145675; ENSG00000178719; ENSG00000145506; ENSG00000141574; ENSG00000110092; ENSG00000148730; ENSG00000101040; ENSG00000103034; ENSG00000114200	3048	3042
3.23575144044e-05	0.00319530454744	GO:0043436	b	4	oxoacid metabolic process	875; 1571; 2131; 2588; 2690; 2752; 3643; 5832; 7298; 401494; 8660; 9061; 10630; 51181; 26227; 64131	ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000059573; ENSG00000130649; ENSG00000141012; ENSG00000162493; ENSG00000169738; ENSG00000188921; ENSG00000160200; ENSG00000135821; ENSG00000138801; ENSG00000103489; ENSG00000176890; ENSG00000112964; ENSG00000092621	1070	1068
3.91533170902e-05	0.00144939272383	GO:0006082	b	3	organic acid metabolic process	875; 1571; 2131; 2588; 2690; 2752; 3643; 5832; 7298; 401494; 8660; 9061; 10630; 51181; 26227; 64131	ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000059573; ENSG00000130649; ENSG00000141012; ENSG00000162493; ENSG00000169738; ENSG00000188921; ENSG00000160200; ENSG00000135821; ENSG00000138801; ENSG00000103489; ENSG00000176890; ENSG00000112964; ENSG00000092621	1087	1085
3.92347930016e-05	0.00207944402908	GO:0005737	c	3	cytoplasm	330; 483; 590; 595; 875; 896; 132014; 1571; 1979; 2131; 2185; 2308; 2309; 2588; 2690; 2752; 2907; 3628; 3633; 3643; 4493; 4501; 4502; 5295; 5423; 5569; 5832; 5833; 6196; 6347; 6398; 22943; 7027; 7083; 170954; 7161; 7298; 401494; 8660; 8761; 9061; 9088; 9501; 9547; 10477; 29091; 79682; 266727; 50509; 50650; 51097; 51116; 51181; 542767; 55214; 85407; 152002; 85409; 23087; 23613; 154807; 25941; 26227; 27124; 29785; 653499; 64131; 65009	ENSG00000112576; ENSG00000151725; ENSG00000205861; ENSG00000130649; ENSG00000107984; ENSG00000169715; ENSG00000198176; ENSG00000141012; ENSG00000078900; ENSG00000169738; ENSG00000188921; ENSG00000127564; ENSG00000135821; ENSG00000171033; ENSG00000103489; ENSG00000112964; ENSG00000069849; ENSG00000167900; ENSG00000185950; ENSG00000120899; ENSG00000187193; ENSG00000118689; ENSG00000071242; ENSG00000146112; ENSG00000167600; ENSG00000168952; ENSG00000151689; ENSG00000090530; ENSG00000080573; ENSG00000122140; ENSG00000125148; ENSG00000181031; ENSG00000176890; ENSG00000204084; ENSG00000196715; ENSG00000092621; ENSG00000134779; ENSG00000170035; ENSG00000104228; ENSG00000023445; ENSG00000171105; ENSG00000182197; ENSG00000108691; ENSG00000185813; ENSG00000112139; ENSG00000163701; ENSG00000140807; ENSG00000163947; ENSG00000150907; ENSG00000145675; ENSG00000070501; ENSG00000178719; ENSG00000143653; ENSG00000145506; ENSG00000090621; ENSG00000059573; ENSG00000178934; ENSG00000173950; ENSG00000141574; ENSG00000110092; ENSG00000148730; ENSG00000160200; ENSG00000145824; ENSG00000101040; ENSG00000138801; ENSG00000103034; ENSG00000114200; ENSG00000185133	10661	10616
4.304309299e-05	0.00144939272383	GO:0042493	b	3	response to drug	590; 595; 1571; 2185; 4502; 6347; 6584; 7161; 7298; 9501	ENSG00000108691; ENSG00000130649; ENSG00000078900; ENSG00000110092; ENSG00000125148; ENSG00000181031; ENSG00000176890; ENSG00000114200; ENSG00000120899; ENSG00000197375	446	444
4.52626296714e-05	0.000746833389578	GO:0044710	b	2	single-organism metabolic process	875; 1571; 140766; 2131; 2185; 2308; 2588; 2690; 2752; 3628; 3633; 3643; 5295; 5832; 5833; 6347; 6363; 22943; 7083; 7161; 7298; 401494; 8660; 9061; 10630; 50509; 51097; 51181; 55214; 55504; 154807; 26227; 27124; 29785; 64131; 65009	ENSG00000107984; ENSG00000130649; ENSG00000127863; ENSG00000141012; ENSG00000078900; ENSG00000169738; ENSG00000188921; ENSG00000135821; ENSG00000103489; ENSG00000112964; ENSG00000120899; ENSG00000108691; ENSG00000167600; ENSG00000151689; ENSG00000090530; ENSG00000080573; ENSG00000176890; ENSG00000204084; ENSG00000092621; ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000138316; ENSG00000172724; ENSG00000185813; ENSG00000196715; ENSG00000150907; ENSG00000145675; ENSG00000185133; ENSG00000059573; ENSG00000162493; ENSG00000167900; ENSG00000160200; ENSG00000138801; ENSG00000103034; ENSG00000143653	4126	4111
4.75210729125e-05	0.00144939272383	GO:0044281	b	3	small molecule metabolic process	875; 1571; 2131; 2185; 2308; 2588; 2690; 2752; 3628; 3633; 3643; 5832; 7083; 7298; 401494; 8660; 9061; 10630; 51181; 154807; 26227; 27124; 64131	ENSG00000130649; ENSG00000141012; ENSG00000169738; ENSG00000188921; ENSG00000135821; ENSG00000103489; ENSG00000112964; ENSG00000120899; ENSG00000151689; ENSG00000176890; ENSG00000204084; ENSG00000092621; ENSG00000185950; ENSG00000171105; ENSG00000182197; ENSG00000138801; ENSG00000150907; ENSG00000185133; ENSG00000059573; ENSG00000162493; ENSG00000167900; ENSG00000160200; ENSG00000196715	2049	2042
4.90376418134e-05	0.00259899501611	GO:0019899	m	3	enzyme binding	483; 590; 595; 875; 896; 1571; 2185; 2308; 2309; 2690; 3643; 5295; 5423; 5569; 170954; 7161; 401494; 8660; 9501; 29091; 85409	ENSG00000112576; ENSG00000171105; ENSG00000145506; ENSG00000188921; ENSG00000130649; ENSG00000146112; ENSG00000168952; ENSG00000078900; ENSG00000110092; ENSG00000120899; ENSG00000160200; ENSG00000171033; ENSG00000181031; ENSG00000150907; ENSG00000070501; ENSG00000145675; ENSG00000112964; ENSG00000069849; ENSG00000118689; ENSG00000185950; ENSG00000114200	1766	1762
5.79101645847e-05	0.00156193690808	GO:0009991	b	3	response to extracellular stimulus	590; 595; 875; 2308; 2690; 2752; 3643; 6347; 7083; 7298	ENSG00000171105; ENSG00000108691; ENSG00000110092; ENSG00000167900; ENSG00000160200; ENSG00000135821; ENSG00000150907; ENSG00000176890; ENSG00000112964; ENSG00000114200	460	460
6.04284424502e-05	0.00454683101884	GO:0010646	b	4	regulation of cell communication	330; 590; 595; 1979; 2185; 2308; 2309; 2690; 2752; 2907; 3633; 3643; 5295; 5328; 6347; 6363; 6398; 22943; 7027; 7161; 8660; 9501; 147495; 50650; 85407; 85409; 55504; 23613; 65009	ENSG00000107984; ENSG00000127863; ENSG00000198176; ENSG00000078900; ENSG00000122861; ENSG00000112964; ENSG00000181031; ENSG00000185950; ENSG00000120899; ENSG00000108691; ENSG00000118689; ENSG00000204084; ENSG00000135821; ENSG00000154856; ENSG00000023445; ENSG00000171105; ENSG00000172724; ENSG00000140807; ENSG00000163947; ENSG00000150907; ENSG00000145675; ENSG00000178719; ENSG00000145506; ENSG00000141574; ENSG00000110092; ENSG00000148730; ENSG00000101040; ENSG00000103034; ENSG00000114200	2998	2993
6.40138077083e-05	0.00156193690808	GO:0010033	b	3	response to organic substance	330; 590; 595; 132014; 1571; 1979; 2185; 2308; 2309; 2690; 2752; 3643; 4501; 4502; 5295; 5328; 5423; 6196; 6347; 6363; 22943; 7083; 7161; 7298; 8660; 28999; 84818; 55504	ENSG00000107984; ENSG00000130649; ENSG00000127863; ENSG00000078900; ENSG00000122861; ENSG00000163884; ENSG00000112964; ENSG00000148730; ENSG00000185950; ENSG00000120899; ENSG00000187193; ENSG00000071242; ENSG00000125148; ENSG00000176890; ENSG00000135821; ENSG00000023445; ENSG00000171105; ENSG00000172724; ENSG00000108691; ENSG00000163701; ENSG00000163702; ENSG00000150907; ENSG00000145675; ENSG00000070501; ENSG00000118689; ENSG00000110092; ENSG00000167900; ENSG00000114200	2850	2843
6.9065787628e-05	0.00454683101884	GO:0048469	b	4	cell maturation	2185; 2309; 6196; 6363; 7298; 4897	ENSG00000172724; ENSG00000071242; ENSG00000091129; ENSG00000176890; ENSG00000118689; ENSG00000120899	148	148
8.06165368953e-05	0.00665653442361	GO:0033500	b	5	carbohydrate homeostasis	2308; 2309; 3643; 5295; 5328; 8660; 9501	ENSG00000185950; ENSG00000171105; ENSG00000122861; ENSG00000150907; ENSG00000145675; ENSG00000181031; ENSG00000118689	221	221
8.44948070156e-05	0.00470072741875	GO:0034097	b	4	response to cytokine	330; 2185; 2309; 2690; 3643; 4501; 4502; 6347; 6363; 7298; 84818; 132014; 55504	ENSG00000023445; ENSG00000187193; ENSG00000172724; ENSG00000171105; ENSG00000108691; ENSG00000127863; ENSG00000163701; ENSG00000163702; ENSG00000125148; ENSG00000176890; ENSG00000112964; ENSG00000118689; ENSG00000120899	799	798
9.37434573192e-05	0.00123741363661	GO:0044707	b	2	single-multicellular organism process	330; 483; 590; 595; 140766; 1979; 2131; 2185; 2308; 2309; 2690; 3633; 3643; 3909; 4897; 5295; 5328; 5423; 6196; 6347; 6363; 6584; 22943; 7083; 7161; 7298; 8660; 8761; 9061; 9547; 10630; 79682; 28999; 147495; 266727; 50509; 84818; 55214; 85407; 55504; 23613; 23705; 26227; 27124; 65009	ENSG00000107984; ENSG00000150907; ENSG00000127863; ENSG00000078900; ENSG00000162493; ENSG00000122861; ENSG00000163884; ENSG00000112964; ENSG00000069849; ENSG00000167900; ENSG00000185950; ENSG00000120899; ENSG00000108691; ENSG00000071242; ENSG00000151725; ENSG00000145824; ENSG00000090530; ENSG00000080573; ENSG00000176890; ENSG00000204084; ENSG00000092621; ENSG00000154856; ENSG00000197375; ENSG00000182985; ENSG00000023445; ENSG00000171105; ENSG00000182197; ENSG00000138316; ENSG00000172724; ENSG00000112139; ENSG00000140807; ENSG00000163702; ENSG00000091129; ENSG00000145675; ENSG00000070501; ENSG00000118689; ENSG00000114200; ENSG00000090621; ENSG00000110092; ENSG00000148730; ENSG00000101040; ENSG00000138801; ENSG00000103034; ENSG00000053747; ENSG00000185133	5925	5906
9.52046059494e-05	0.00470072741875	GO:0048247	b	4	lymphocyte chemotaxis	2185; 6347; 6363; 9547	ENSG00000108691; ENSG00000145824; ENSG00000120899; ENSG00000172724	52	51
